account,posts,farm_posts,card_posts,ratio,clusters,top_domains,tags,uids,self_reply_2of2,non_registry_top,joined,location,followers,following,first,last,serp_tag,verdict,source_file
hui1181_2,110,70,68,0.64,"family-01:64,qsh-beta:6","vivi01.com:64,picelse.com:6",,utm_term=3863×65,40,,November 2024,,,,2024-12-31,2026-09-06,kw_b1_r3|family-01,散布者（發文史核實）,r3_session2_verdicts.csv
hui1.181,109,68,65,0.62,"family-01:58,qsh-beta:10","vivi01.com:58,picelse.com:10",,utm_term=3863×62,39,,August 2024,,,,2024-08-29,2026-09-06,kw_b1_r3|family-01,散布者（發文史核實）,r3_session2_verdicts.csv
erliusanjiu,113,60,59,0.53,qsh-alpha:60,"lfqgj.com:49,cookicway.com:10,dsawjk.com:1",,,52,,August 2024,Cambodia,,,2024-10-11,2026-02-21,kw_b3_r3|cand-qhd-adstxt,散布者（發文史核實）,r3_session2_verdicts.csv
burnellharveyharvey,111,56,56,0.5,qsh-alpha:56,"lfqgj.com:49,cookicway.com:6,dsawjk.com:1",,,53,,August 2024,Taiwan,66.0,,2024-08-28,2026-02-22,kw_b3_r3|cand-qhd-adstxt,散布者（發文史核實）,r3_session2_verdicts.csv
shangtianyayi22,179,53,50,0.3,"qsh-alpha:48,cand-anyelse-net:5","lovehouse456.com:42,recipes-forfood.com:6,bestinfo365.com:4,jp.eoomiss.com:1",,,53,"55likegame.com:61,jp.prettycutepet.com:6,forfood.com:6,jp.babyystory.com:2",August 2024,China,,,2024-08-27,2026-07-24,kw_b3_r3|cand-anyelse-net,散布者（發文史核實）,r3_session2_verdicts.csv
anime_thenews_,115,52,52,0.45,"qsh-beta:49,qsh-alpha:2,family-01:1","picelse.com:49,furnishwe.com:2,coolgirl01.com:1",,utm_term=8901×50,50,,August 2025,Malaysia,4800.0,,2025-08-05,2026-07-18,kw_b1_r3|qsh-beta,散布者（發文史核實）,r3_session2_verdicts.csv
kpopbreaking2026,106,52,51,0.49,qsh-beta:52,picelse.com:52,,utm_term=8842×51,50,"gotule.com:3,dulepic.com:1",February 2026,Malaysia,,,2026-02-20,2026-08-01,kw_b1_r3|qsh-beta,散布者（發文史核實）,r3_session2_verdicts.csv
yupeikwok,104,52,52,0.5,qsh-alpha:52,"lovewdk.com:50,kidy-party.com:2",,,52,party.com:2,August 2024,Taiwan,,,2024-11-20,2026-02-21,kw_b3_r3|cand-qhd-adstxt+qsh-alpha,散布者（發文史核實）,r3_session2_verdicts.csv
ooooe113,101,52,49,0.51,qsh-beta:52,picelse.com:52,,"utm_term=8600×48,utm_term=1883×1",49,,July 2026,Malaysia,,,2026-07-17,2026-08-24,kw_b1_r3|qsh-beta,散布者（發文史核實）,r3_session2_verdicts.csv
bgy49052,100,50,50,0.5,qsh-alpha:50,wujfu.com:50,,,50,,September 2024,Hong Kong,,,2026-06-03,2026-07-24,kw_b1_r3|qsh-alpha,散布者（發文史核實）,r3_session2_verdicts.csv
kaobeiahxi101,101,49,49,0.49,qsh-beta:49,picelse.com:49,,utm_term=8842×49,48,gotule.com:1,February 2026,Malaysia,306.0,,2026-03-19,2026-09-09,kw_b1_r3|qsh-beta,散布者（發文史核實）,r3_session2_verdicts.csv
ericcheww,101,48,48,0.48,"qsh-beta:38,qsh-gamma:7,family-01:3","luckyelse.com:28,picelse.com:10,picread.net:3,thisreader.com:3,cocovn.net:3,kimishare.org:1",,"utm_term=8427×40,uid=1143×3,uid=12853×3,uid=12690×1,utm_term=9380×1",50,facebook.com:2,January 2025,Malaysia,138.0,,2025-11-20,2026-06-19,kw_b1_r3|family-01+qsh-beta,散布者（發文史核實）,r3_session2_verdicts.csv
fararrinews747,108,44,44,0.41,qsh-beta:44,picelse.com:44,,utm_term=1883×44,52,facebook.com:1,January 2025,Malaysia,,,2025-04-26,2026-02-28,kw_b1_r3|family-01,散布者（發文史核實）,r3_session2_verdicts.csv
dison26475,101,43,43,0.43,"qsh-alpha:42,cand-qhd-adstxt:1","eoeonews.com:38,412lala.com:2,t9y3c.com:1,dsawjk.com:1,itigeryou.com:1",#threads14074×43,,43,,September 2025,Hong Kong,,,2026-01-15,2026-01-30,kw_b1_r3|cand-docilepuppy,散布者（發文史核實）,r3_session2_verdicts.csv
ha0lqz2025,89,37,30,0.42,qsh-alpha:37,"comeworlds.com:21,furnishwe.com:11,pets-dote.com:3,foodszon.com:2",#threads7950×30,,41,"wateronn.com:4,dote.com:3",April 2025,Hong Kong,,,2025-05-13,2025-06-12,kw_b1_r3|qsh-alpha,散布者（發文史核實）,r3_session2_verdicts.csv
shixiaoqi6554,64,30,30,0.47,"qsh-beta:23,qsh-gamma:5,family-01:2","luckyelse.com:18,picelse.com:5,thisreader.com:4,cocovn.net:2,picread.net:1",,"utm_term=8427×22,uid=12853×4,utm_term=9201×2,uid=1143×1,utm_term=9380×1",32,facebook.com:2,November 2025,Malaysia,,,2025-11-20,2026-06-04,kw_b1_r3|qsh-beta,散布者（發文史核實）,r3_session2_verdicts.csv
lp000000012026,53,17,16,0.32,qsh-beta:17,picelse.com:17,,"utm_term=9510×15,utm_term=8134×1",17,pushtip.net:1,May 2026,Malaysia,3.0,,2026-05-26,2026-09-04,kw_b1_r3|qsh-beta,散布者（發文史核實）,r3_session2_verdicts.csv
lp000000042026,56,16,15,0.29,qsh-beta:16,picelse.com:16,,"utm_term=9510×14,utm_term=8134×1",16,pushtip.net:1,May 2026,,4.0,,2026-05-29,2026-09-04,kw_b1_r3|qsh-beta,散布者（發文史核實）,r3_session2_verdicts.csv
lp000000082026,42,15,14,0.36,qsh-beta:15,picelse.com:15,,"utm_term=9510×13,utm_term=8134×1",15,pushtip.net:1,June 2026,Malaysia,4.0,,2026-06-07,2026-09-04,kw_b1_r3|qsh-beta,散布者（發文史核實）,r3_session2_verdicts.csv
lkv07771,65,14,12,0.22,"qsh-alpha:12,cand-anyelse-net:2","kidy-kidy.com:10,tarooot.com:2,cartoontalking.com:2",#threads4191×2,,15,kidy.com:10,October 2024,Hong Kong,,,2024-11-03,2025-03-26,kw_b1_r3|qsh-alpha,散布者（發文史核實）,r3_session2_verdicts.csv
lp00000014,37,11,11,0.3,qsh-beta:11,picelse.com:11,,utm_term=9510×11,12,pushtip.net:1,May 2026,Malaysia,3.0,,2026-05-29,2026-09-04,kw_b1_r3|qsh-beta,散布者（發文史核實）,r3_session2_verdicts.csv
jza00060,105,10,8,0.1,"cand-anyelse-net:8,qsh-alpha:2","tarooot.com:8,cartoontalking.com:2","#threads744×4,#gw#threads744×3,#threads1700#threads744×1",,12,anymn.com:2,August 2024,,,,2025-02-04,2025-03-26,kw_b1_r3|qsh-alpha,散布者（發文史核實）,r3_session2_verdicts.csv
zqz41186,56,9,7,0.16,"qsh-alpha:7,cand-anyelse-net:2","kidy-kidy.com:5,tarooot.com:2,cartoontalking.com:2",#threads4175×2,,10,kidy.com:5,October 2024,,,,2024-11-02,2025-03-27,kw_b1_r3|qsh-alpha,散布者（發文史核實）,r3_session2_verdicts.csv
jedsonzieyyh,10,5,5,0.5,qsh-beta:5,picelse.com:5,,utm_term=8842×5,5,,August 2026,Malaysia,,,2026-08-27,2026-09-08,kw_b1_r3|qsh-beta,散布者（發文史核實）,r3_session2_verdicts.csv
linlinwen5,104,0,0,0.0,,,,,51,wa.me:25,September 2024,Hong Kong,931.0,,2025-07-29,2026-01-03,kw_b3_r3|cand-anyelse-net,發文史無農場連結（Google 命中可能為舊文或誤配）,r3_session2_verdicts.csv
vvr23684,102,0,0,0.0,,,,,51,reurl.cc:51,October 2024,Hong Kong,8.0,,2026-02-19,2026-03-03,kw_b1_r3|qsh-alpha,發文史無農場連結（Google 命中可能為舊文或誤配）,r3_session2_verdicts.csv
setllacecillia2,102,51,51,0.5,qsh-alpha:51,wujfu.com:51,,,51,,June 2025,Hong Kong,,,2026-03-07,2026-03-30,r3_session3|cand-anyelse-net,散布者（發文史核實）,r3_session3_verdicts.csv
hemiho4545,104,42,42,0.4,qsh-alpha:42,wujfu.com:42,,,37,,October 2024,Taiwan,,,2025-02-27,2026-03-24,r3_session3|cand-docilepuppy,散布者（發文史核實）,r3_session3_verdicts.csv
aimeiseyyuan,102,17,17,0.17,cand-anyelse-net:17,chiyidavip.com:17,,,50,"carcarwe.com:20,jpquiz.quiet-pet.com:14,pet.com:12",September 2024,Hong Kong,162.0,,2025-03-12,2025-09-17,r3_session3|cand-anyelse-net,散布者（發文史核實）,r3_session3_verdicts.csv
tohaq1b2025,49,17,14,0.35,qsh-alpha:17,"furnishwe.com:11,pets-dote.com:3,comeworlds.com:2,foodszon.com:1",#threads7755×14,,20,"dote.com:3,wateronn.com:3",April 2025,Hong Kong,,,2025-05-12,2025-05-27,r3_session3|qsh-alpha,散布者（發文史核實）,r3_session3_verdicts.csv
gm2hfo1,40,17,13,0.42,qsh-alpha:17,"furnishwe.com:11,pets-dote.com:3,comeworlds.com:2,foodszon.com:1",#threads7453×13,,20,"dote.com:3,wateronn.com:3",April 2025,Hong Kong,,,2025-05-23,2025-05-27,r3_session3|qsh-alpha,散布者（發文史核實）,r3_session3_verdicts.csv
yuehpaichen,64,12,7,0.19,"qsh-alpha:7,cand-anyelse-net:5","tarooot.com:5,kidy-kidy.com:5,cartoontalking.com:2",#threads4195×2,,12,kidy.com:5,October 2024,Hong Kong,,,2024-11-02,2025-03-27,r3_session3|qsh-alpha,散布者（發文史核實）,r3_session3_verdicts.csv
urx90127,69,9,5,0.13,"qsh-alpha:6,cand-anyelse-net:3","kidy-kidy.com:5,tarooot.com:3,cartoontalking.com:1",#threads4223×1,,9,kidy.com:4,October 2024,Hong Kong,,,2024-11-02,2025-03-27,r3_session3|qsh-alpha,散布者（發文史核實）,r3_session3_verdicts.csv
gld50844,60,9,7,0.15,"qsh-alpha:7,cand-anyelse-net:2","kidy-kidy.com:5,tarooot.com:2,cartoontalking.com:2",#threads4219×2,,9,kidy.com:5,October 2024,,,,2024-11-03,2025-03-26,r3_session3|qsh-alpha,散布者（發文史核實）,r3_session3_verdicts.csv
cco5b5,101,1,1,0.01,qsh-alpha:1,comeworlds.com:1,,,50,"ugzjo.com:49,lin.ee:1",April 2025,,352.0,,2025-06-06,2026-09-10,r3_session3|qsh-alpha,偶發轉貼（發文史 <5 篇且 <20%）,r3_session3_verdicts.csv
yejemav128,105,0,0,0.0,,,,,34,"apps.apple.com:5,play.google.com:5,tinyurl.com:1",October 2024,Taiwan,,,2025-05-13,2026-07-24,r3_session3|cand-docilepuppy,發文史無農場連結（Google 命中可能為舊文或誤配）,r3_session3_verdicts.csv
yizhen.qin,104,0,0,0.0,,,,,50,wa.me:52,September 2024,China,234.0,,2025-07-21,2025-10-22,r3_session3|cand-anyelse-net,發文史無農場連結（Google 命中可能為舊文或誤配）,r3_session3_verdicts.csv
ixp44954,102,0,0,0.0,,,,,0,,August 2024,Taiwan,,,2024-12-25,2025-07-17,r3_session3|cand-qhd-adstxt,發文史無農場連結（Google 命中可能為舊文或誤配）,r3_session3_verdicts.csv
cheungna3,172,112,101,0.65,"qsh-alpha:111,cand-anyelse-net:1","wujfu.com:78,designiwe.com:10,foodszon.com:7,eoeonews.com:6,comeworlds.com:5,wiusbh.com:2",#threads5168×30,,36,"s.shopee.tw:24,skills.com:1,dote.com:1,puppys.com:1",October 2024,Hong Kong,867.0,,2025-08-05,2026-01-30,serp_candidate_r2|qsh-alpha,散布者（發文史核實）,serp_candidates_r2_verdicts.csv
tvbzuixinzixun,118,95,44,0.81,family-01:95,"vodsilo.cc:90,vivi01.com:5",,utm_term=576×44,35,,,,603.0,,2024-07-21,2025-11-15,serp_candidate_r2|cand-qhd-adstxt+family-01,散布者（發文史核實）,serp_candidates_r2_verdicts.csv
shiminyuya,174,86,86,0.49,qsh-alpha:86,"kidy-kidy.com:85,cartoontalking.com:1",,,86,"kidy.com:85,amzn.to:2",December 2023,China,3300.0,,2024-09-30,2026-05-05,serp_candidate_r2|qsh-alpha,散布者（發文史核實）,serp_candidates_r2_verdicts.csv
n510197,133,64,64,0.48,qsh-alpha:64,kidy-kidy.com:64,,,64,kidy.com:64,August 2024,Hong Kong,56.0,,2024-10-17,2025-07-29,serp_candidate_r2|qsh-alpha,散布者（發文史核實）,serp_candidates_r2_verdicts.csv
girlsnews747,113,61,60,0.54,"qsh-beta:60,family-01:1","picelse.com:60,runelse.com:1",,utm_term=1883×60,52,,July 2023,Malaysia,1600.0,,2024-05-25,2026-06-03,serp_candidate_r2|family-01+qsh-beta,散布者（發文史核實）,serp_candidates_r2_verdicts.csv
ailing_law,120,59,59,0.49,qsh-alpha:59,"lovewdk.com:50,comeworlds.com:5,cookicway.com:3,picture.t9y3c.com:1",,,50,,August 2024,Hong Kong,197.0,,2024-09-11,2026-07-17,serp_candidate_r2|qsh-alpha,散布者（發文史核實）,serp_candidates_r2_verdicts.csv
mariaheloise260,135,57,57,0.42,"cand-anyelse-net:47,qsh-alpha:10","tarooot.com:47,kidy-kidy.com:9,cartoontalking.com:1",#threads3214×3,,59,"kidy.com:9,s.shopee.tw:1",August 2024,,280.0,,2024-12-09,2025-05-08,serp_candidate_r2|cand-anyelse-net,散布者（發文史核實）,serp_candidates_r2_verdicts.csv
ashabalemd,116,56,54,0.48,qsh-alpha:56,lfqgj.com:56,,,52,99joylife.com:4,September 2024,Taiwan,,,2024-12-08,2026-06-25,serp_candidate_r2|qsh-alpha,散布者（發文史核實）,serp_candidates_r2_verdicts.csv
tvbfanssharingnews1712,108,56,56,0.52,"family-01:44,qsh-gamma:12","vivi01.com:44,videowatch.fun:12",,"utm_term=36×44,uid=1712×12",51,,June 2026,Malaysia,458.0,,2026-07-12,2026-09-05,serp_candidate_r2|family-01+qsh-gamma,散布者（發文史核實）,serp_candidates_r2_verdicts.csv
katherineouz__,122,55,55,0.45,qsh-alpha:55,"lovewdk.com:45,comeworlds.com:6,cookicway.com:2,fgnj1634.com:1,picture.t9y3c.com:1",,,48,,December 2023,Taiwan,466.0,,2024-09-11,2026-05-05,serp_candidate_r2|qsh-alpha,散布者（發文史核實）,serp_candidates_r2_verdicts.csv
langjuwu,110,55,55,0.5,cand-anyelse-net:55,praiseme12.com:55,,,53,"55likegame.com:1,jp.babyystory.com:1",August 2024,Taiwan,1300.0,,2024-09-20,2026-07-24,serp_candidate_r2|cand-anyelse-net,散布者（發文史核實）,serp_candidates_r2_verdicts.csv
news.xinwen,102,54,48,0.53,"qsh-beta:53,family-01:1","picelse.com:53,vivi01.com:1",,utm_term=9223×48,50,video.funshare.cc:2,July 2024,,,,2024-10-05,2026-03-17,serp_candidate_r2|family-01+qsh-gamma,散布者（發文史核實）,serp_candidates_r2_verdicts.csv
xinyuan3399,127,52,52,0.41,"qsh-alpha:38,cand-anyelse-net:14","pets-naivety.com:38,chiyidavip.com:14",,,53,"naivety.com:38,amzn.to:21",September 2024,Hong Kong,420.0,,2024-11-01,2025-10-29,serp_candidate_r2|qsh-alpha,散布者（發文史核實）,serp_candidates_r2_verdicts.csv
jingliang374,105,52,51,0.5,qsh-alpha:52,"lovewdk.com:49,cookicway.com:2,12beststar.com:1",,,52,,September 2024,Hong Kong,330.0,,2024-11-20,2026-06-24,serp_candidate_r2|qsh-alpha,散布者（發文史核實）,serp_candidates_r2_verdicts.csv
may_1123_0,103,52,52,0.5,qsh-alpha:52,"lfqgj.com:50,12luckyhome.com:2",,,50,,December 2023,China,206.0,,2024-09-02,2026-05-18,serp_candidate_r2|cand-docilepuppy,散布者（發文史核實）,serp_candidates_r2_verdicts.csv
ory315844,106,51,51,0.48,cand-anyelse-net:51,jp.eoomiss.com:51,,,53,"jp.styleddecoration.com:1,jp.56k88.com:1",September 2024,Taiwan,,,2024-11-27,2026-09-06,serp_candidate_r2|cand-anyelse-net,散布者（發文史核實）,serp_candidates_r2_verdicts.csv
wangting.ning,102,51,51,0.5,cand-anyelse-net:51,houseborn.com:51,,,51,,November 2024,Taiwan,180.0,,2026-08-21,2026-09-06,serp_candidate_r2|cand-anyelse-net,散布者（發文史核實）,serp_candidates_r2_verdicts.csv
q1i1jg,102,51,51,0.5,cand-singles:51,74novel.com:51,,,51,,March 2025,Hong Kong,,,2026-08-21,2026-09-06,serp_candidate_r2|cand-singles,散布者（發文史核實）,serp_candidates_r2_verdicts.csv
yixue.xiang,108,50,50,0.46,qsh-alpha:50,"lfqgj.com:45,coolsaid.com:4,12luckyhome.com:1",,,48,,August 2024,Taiwan,1200.0,,2024-12-05,2026-05-19,serp_candidate_r2|cand-anyelse-net+qsh-alpha,散布者（發文史核實）,serp_candidates_r2_verdicts.csv
arrietlinor3235,106,50,50,0.47,qsh-alpha:50,roadstert.com:50,,,50,,September 2025,Hong Kong,,,2025-12-02,2026-09-07,serp_candidate_r2|qsh-alpha,散布者（發文史核實）,serp_candidates_r2_verdicts.csv
kybfz2025,101,50,50,0.5,qsh-alpha:50,roadstert.com:50,,,50,,March 2025,Taiwan,5100.0,,2025-05-18,2026-05-20,serp_candidate_r2|qsh-alpha,散布者（發文史核實）,serp_candidates_r2_verdicts.csv
yaping3121,100,50,50,0.5,qsh-alpha:50,jkingtimes.com:50,#threads2067×50,,50,,September 2024,Taiwan,,,2026-08-22,2026-09-06,serp_candidate_r2|qsh-alpha,散布者（發文史核實）,serp_candidates_r2_verdicts.csv
sun.yunxia,100,50,50,0.5,qsh-alpha:50,lovewdk.com:50,,,50,,September 2024,Taiwan,3900.0,,2026-01-19,2026-02-04,serp_candidate_r2|qsh-alpha,散布者（發文史核實）,serp_candidates_r2_verdicts.csv
dcu97874,116,44,44,0.38,qsh-alpha:44,wujfu.com:44,,,47,s.shopee.tw:7,October 2024,Hong Kong,31400.0,,2024-10-19,2026-05-05,serp_candidate_r2|cand-anyelse-net+qsh-alpha,散布者（發文史核實）,serp_candidates_r2_verdicts.csv
turnerhugheshughes,106,42,41,0.4,qsh-gamma:42,"hknews.pro:36,hker.life:6",#12724×1,uid=12742×40,37,,May 2025,,,,2025-05-12,2026-07-21,serp_candidate_r2|family-01+qsh-beta,散布者（發文史核實）,serp_candidates_r2_verdicts.csv
qhw39489,104,42,42,0.4,qsh-alpha:42,roadstert.com:42,,,42,,September 2024,Taiwan,,,2025-01-20,2026-09-06,serp_candidate_r2|qsh-alpha,散布者（發文史核實）,serp_candidates_r2_verdicts.csv
springfred4,104,35,35,0.34,cand-anyelse-net:35,cheeselikes.com:35,,,35,,June 2025,China,,,2026-08-21,2026-09-06,serp_candidate_r2|cand-anyelse-net,散布者（發文史核實）,serp_candidates_r2_verdicts.csv
wupeiting2893,176,20,15,0.11,"cand-qhd-adstxt:14,qsh-alpha:6","lovelyhi.com:14,eoeonews.com:2,foodszon.com:2,dsawjk.com:1,comeworlds.com:1",,,41,"ohiotires.com:40,sweetastes.com:18",August 2024,Hong Kong,1800.0,,2025-09-20,2026-09-06,serp_candidate_r2|cand-anyelse-net+cand-qhd-adstxt,散布者（發文史核實）,serp_candidates_r2_verdicts.csv
cc.feng123,157,0,0,0.0,,,,,18,"buzzorange.com:1,hiking.biji.co:1",May 2024,Taiwan,,,2025-09-05,2026-09-06,serp_candidate_r2|qsh-alpha,發文史無農場連結（Google 命中可能為舊文或誤配）,serp_candidates_r2_verdicts.csv
hedy.pater,0,0,0,0.0,,,,,0,,,,,,,,serp_candidate_r2|cand-anyelse-net,未回傳（工具無資料）,serp_candidates_r2_verdicts.csv
hia3473112025,0,0,0,0.0,,,,,0,,,,,,,,serp_candidate_r2|cand-anyelse-net,未回傳（工具無資料）,serp_candidates_r2_verdicts.csv
ivanovivanebe,0,0,0,0.0,,,,,0,,,,,,,,serp_candidate_r2|qsh-alpha,未回傳（工具無資料）,serp_candidates_r2_verdicts.csv
youtubenews747,0,0,0,0.0,,,,,0,,,,,,,,serp_candidate_r2|family-01,未回傳（工具無資料）,serp_candidates_r2_verdicts.csv
youtubenews747,107,55,55,0.51,"qsh-beta:53,family-01:2","picelse.com:53,runelse.com:2",,utm_term=1883×55,52,,November 2024,Malaysia,,,2024-12-03,2025-01-12,serp_candidate_r2|family-01,散布者（發文史核實）,serp_candidates_r2b_verdicts.csv
ivanovivanebe,102,50,50,0.49,qsh-alpha:50,"cartoontalking.com:48,sarahtalkshow.com:2",,,49,,September 2024,Hong Kong,22.0,,2024-11-04,2024-12-13,serp_candidate_r2|qsh-alpha,散布者（發文史核實）,serp_candidates_r2b_verdicts.csv
hedy.pater,16,5,5,0.31,cand-anyelse-net:5,okazu.cc:5,,,5,,October 2024,Hong Kong,1800.0,,2025-04-24,2025-05-09,serp_candidate_r2|cand-anyelse-net,散布者（發文史核實）,serp_candidates_r2b_verdicts.csv
hia3473112025,0,0,0,0.0,,,,,0,,,,,,,,serp_candidate_r2|cand-anyelse-net,未回傳（工具無資料）,serp_candidates_r2b_verdicts.csv
