regdom,d3,d4,prop,brand,d5,hosts,rows
yleswissd.xyz,U,INVEST,金融保險,,,1,1
bjkbxcu.xyz,U,INVEST,金融保險,,,1,1
jdfbits.com,U,INVEST,金融保險,,,1,1
sqts-ts.store,U,SHOP,電子商務,,,1,1
it.com,A,INVEST,金融保險,7-ELEVEN 賣貨便,LOGI,6,6
mercadolibre-shop.cc,A,SHOP,電子商務,MercadoLibre,ECOM,1,1
globalspocke.top,U,SHOP,電子商務,,,1,1
globalspocket.com,U,SHOP,電子商務,,,1,1
spocketmall.app,A,SHOP,電子商務,東森購物,ECOM,1,1
spocketmall.com,A,SHOP,電子商務,東森購物,ECOM,1,1
tornbank.sbs,U,INVEST,金融保險,,,1,1
imintornbank.ltd,U,INVEST,金融保險,,,1,1
workspavpn.com,U,INVEST,金融保險,,,1,1
aegeteyu.com,U,INVEST,金融保險,,,1,1
agnmks.com,U,INVEST,金融保險,,,1,1
kuqir.vip,U,SHOP,電子商務,,,1,1
webaceoa.com,U,INVEST,金融保險,,,1,1
axiwey.com,U,INVEST,金融保險,,,1,1
sebca.buzz,U,INVEST,金融保險,,,1,1
colenddjd.com,U,INVEST,金融保險,,,1,1
tubyk.com,U,UNK,假交友網站,,,1,1
edgexxd.com,U,SHOP,電子商務,,,1,1
kaunetsshop.cfd,U,SHOP,電子商務,,,1,1
ixwrt.xyz,U,INVEST,金融保險,,,1,1
dpljrx.top,U,INVEST,金融保險,,,1,1
nkhurst.vip,U,INVEST,金融保險,,,1,1
lgdvu.com,U,SHOP,電子商務,,,1,2
semiconductorg.com,U,INVEST,金融保險,,,1,1
luminacryptofinance.com,U,INVEST,金融保險,,,1,1
wwwck-befonig.xyz,U,INVEST,金融保險,,,1,1
conking-wiishi.com,U,INVEST,金融保險,,,1,1
conking-wish.com,U,INVEST,金融保險,,,1,1
conking-wish.xin,U,INVEST,金融保險,,,1,1
seveshop-outlet.store,U,SHOP,電子商務,,,1,1
seveshop-bazaar.store,U,SHOP,電子商務,,,1,1
fjhsbnxm.com,U,INVEST,金融保險,,,1,1
diamondicx.vip,U,INVEST,金融保險,,,1,1
dealloop-realm.store,U,SHOP,電子商務,,,1,1
dealloop-pro.store,U,SHOP,電子商務,,,1,1
nodaforextradinge.com,U,INVEST,金融保險,,,2,2
axiowq.com,U,INVEST,金融保險,,,1,1
sequoiacapitalew.com,U,INVEST,金融保險,,,1,1
t-proegn.com,U,INVEST,金融保險,,,1,1
earnsparkvnj.com,U,INVEST,金融保險,,,1,1
58alm.cc,U,SHOP,電子商務,,,1,1
eaay-tw.com,U,SHOP,電子商務,,,1,1
tikincomes.top,U,SHOP,電子商務,,,1,1
btccapp.love,U,INVEST,金融保險,,,1,1
coincapiuo.com,U,INVEST,金融保險,,,1,1
googles.vc,U,INVEST,金融保險,,,1,1
kids-grow.com.tw,U,INVEST,金融保險,,,1,1
rox172.com,U,SHOP,電子商務,,,1,1
wmrfs.com,U,INVEST,金融保險,,,1,1
bitgsert.com,U,INVEST,金融保險,,,1,1
nhkpttue.com,U,INVEST,金融保險,,,1,1
axhge.com,U,INVEST,金融保險,,,1,1
axllt.top,U,INVEST,金融保險,,,1,1
khutdstw.com,U,INVEST,金融保險,,,1,2
tw04dhxs.vip,U,INVEST,金融保險,,,1,1
fjhsbnxz.xyz,U,INVEST,金融保險,,,1,1
greenhypvi.com,U,INVEST,金融保險,,,1,1
greenhypvg.com,U,INVEST,金融保險,,,1,1
my-sinopec.com,U,SHOP,電子商務,,,1,1
hk-sinopec.com,U,SHOP,電子商務,,,1,1
tiemccoin.com,U,INVEST,金融保險,,,1,2
oanda-x.net,A,INVEST,金融保險,OANDA,FIN,1,1
bitcokepromax.top,U,INVEST,金融保險,,,1,1
uesaoansisa.org,U,INVEST,金融保險,,,1,1
safetar.com,U,INVEST,金融保險,,,1,1
bitverse-tradingx.top,U,INVEST,金融保險,,,1,1
usbankpa.com,U,INVEST,金融保險,,,1,1
gsctradingwarehousef.com,U,INVEST,金融保險,,,1,1
mwserodo.com,U,INVEST,金融保險,,,1,1
hbgvfyghlbxh.cc,U,INVEST,金融保險,,,1,1
openivaikl.com,U,INVEST,金融保險,,,1,1
corelinkcryptotrading.com,U,INVEST,金融保險,,,1,1
goldderex.cc,U,INVEST,金融保險,,,1,1
da-exm.net,U,INVEST,金融保險,,,1,1
tohocoootw.com,U,SHOP,電子商務,,,1,1
datahydru411.com,U,INVEST,金融保險,,,1,1
vitaxims.com,U,INVEST,金融保險,,,1,1
sghfjkc.com,U,INVEST,金融保險,,,1,1
montellisgroup.org,U,INVEST,金融保險,,,1,1
mktalignxpro.com,U,INVEST,金融保險,,,1,1
fxkoesticzvng.com,U,INVEST,金融保險,,,1,1
ungyn.com,U,INVEST,金融保險,,,1,1
fast-okx-shk.com,A,INVEST,金融保險,OKX,FIN,1,1
gexusd.com,U,INVEST,金融保險,,,1,1
trad-oriqinx.com,U,INVEST,金融保險,,,1,1
renewals1020.shop,U,INVEST,金融保險,,,1,1
seraphimquantai.com,U,INVEST,金融保險,,,1,1
helatgb.com,U,INVEST,金融保險,,,1,1
scfecodex.com,U,INVEST,金融保險,,,1,1
iffepal.com,U,INVEST,金融保險,,,1,1
mallaeg.vip,U,SHOP,電子商務,,,1,1
linksdirect.top,U,INVEST,金融保險,,,1,1
truevaulttrading.com,U,INVEST,金融保險,,,1,1
jdfbitd.com,U,INVEST,金融保險,,,1,1
shizs.com,U,INVEST,金融保險,,,1,1
zonmexs.cc,U,INVEST,金融保險,,,1,1
zanogo.com,U,INVEST,金融保險,,,1,1
ceffknps.com,U,INVEST,金融保險,,,1,1
jtrdy.com,U,INVEST,金融保險,,,1,1
kimivip.cc,U,INVEST,金融保險,,,1,1
gaiusd.com,U,INVEST,金融保險,,,1,1
lqsjxf.com,U,INVEST,金融保險,,,1,1
aikearena3000.com,U,INVEST,金融保險,,,1,1
manareszken.com,U,INVEST,金融保險,,,1,1
shopocadotw.com,U,SHOP,電子商務,,,1,1
idsfskd.com,U,INVEST,金融保險,,,1,1
xnjkc.one,U,INVEST,金融保險,,,1,1
pkhutdrs.com,U,INVEST,金融保險,,,1,1
semiconductorw.com,U,INVEST,金融保險,,,1,1
neuroautog.com,U,INVEST,金融保險,,,1,1
siemens-healthineerfg.com,U,SHOP,電子商務,,,1,1
qarimethalora.com,U,INVEST,金融保險,,,1,1
crysen-vorthium.com,U,INVEST,金融保險,,,1,1
bohobit001.net,U,INVEST,金融保險,,,1,1
savvashop-arena.store,U,SHOP,電子商務,,,1,1
mgxo.top,U,INVEST,金融保險,,,1,1
cd-name.top,U,INVEST,金融保險,,,1,1
vrrmtw.top,U,SHOP,電子商務,,,1,1
co-bet.top,U,INVEST,金融保險,,,1,1
thku-tw.vip,U,INVEST,金融保險,,,1,1
colendxgg.com,U,INVEST,金融保險,,,1,1
p2pseg.com,U,INVEST,金融保險,,,1,1
smoggya.com,U,INVEST,金融保險,,,1,1
tikpotents.top,U,SHOP,電子商務,,,1,1
cryptodexdifi.com,U,INVEST,金融保險,,,1,1
petro600.com,U,SHOP,電子商務,,,1,1
onekeywalltdl.com,U,INVEST,金融保險,,,1,1
miguae.cc,U,INVEST,金融保險,,,3,3
datanif.com,U,INVEST,金融保險,,,1,2
blockaurora-tradingx.xyz,U,INVEST,金融保險,,,1,1
datahydru750.com,U,INVEST,金融保險,,,1,1
mindexghs.com,U,INVEST,金融保險,,,1,1
jkddks.com,U,UNK,抽獎博弈,,,1,2
btcwu.org,U,INVEST,金融保險,,,1,1
ginsengtw.com,U,SHOP,電子商務,,,1,1
ai-web3.net,U,INVEST,金融保險,,,1,1
earnsparkekd.com,U,INVEST,金融保險,,,1,1
tier1fxinfg.top,U,INVEST,金融保險,,,1,1
phluytjp.com,U,INVEST,金融保險,,,1,1
t-prouz.com,U,INVEST,金融保險,,,1,1
kaunetshop.shop,U,SHOP,電子商務,,,1,1
haskeyced.com,U,INVEST,金融保險,,,1,1
tmall65967.vip,A,SHOP,電子商務,東森購物,ECOM,1,1
hivemicro.lol,U,INVEST,金融保險,,,1,1
blackrocktrade.cc,A,INVEST,金融保險,BlackRock,FIN,1,1
glhkeyexrs.com,U,INVEST,金融保險,,,1,1
hook-vip.com,U,UNK,抽獎博弈,,,1,2
humadef.com,U,INVEST,金融保險,,,1,1
xinyang001.com,U,SHOP,電子商務,,,1,1
nm14.top,U,INVEST,金融保險,,,1,1
marlindefin.com,U,INVEST,金融保險,,,1,1
bvgbrqqj.top,U,INVEST,金融保險,,,1,1
kadewe365.click,U,SHOP,電子商務,,,1,1
drvisiofb.com,U,INVEST,金融保險,,,1,1
tbrobetent.com,U,INVEST,金融保險,,,1,1
weexok.com,U,INVEST,金融保險,,,1,1
lbmaxauvh.com,U,INVEST,金融保險,,,1,1
rw-advisoiry.com,U,INVEST,金融保險,,,1,1
axihjr.com,U,INVEST,金融保險,,,1,1
qfgtewq.com,U,INVEST,金融保險,,,1,1
batsexe.com,U,INVEST,金融保險,,,1,1
tk-am.shop,U,SHOP,電子商務,,,1,1
biconomyapp.com,U,INVEST,金融保險,,,1,1
igkju.com,U,INVEST,金融保險,,,1,1
xvk-tq.com,U,INVEST,金融保險,,,1,1
mdexwyh.com,U,INVEST,金融保險,,,1,1
bito.bond,U,INVEST,金融保險,,,1,1
facaifftfkyln.com,U,INVEST,金融保險,,,1,1
mseeges.shop,U,UNK,釣魚網站,,,1,1
tw-bgdk.com,U,INVEST,金融保險,,,1,1
simplemartabw.com,U,SHOP,電子商務,,,1,1
byexkj1.cc,U,INVEST,金融保險,,,1,1
galaxus.band,U,SHOP,電子商務,,,1,1
sopxbdjs.vip,U,INVEST,金融保險,,,1,1
wanfa188.vip,U,INVEST,金融保險,,,1,1
trustcoinmate.com,U,INVEST,金融保險,,,1,1
mcxteixwe.cc,U,INVEST,金融保險,,,1,2
cwproeyt.vip,U,INVEST,金融保險,,,1,1
miigros.com,U,SHOP,電子商務,,,1,1
colendtjk.com,U,INVEST,金融保險,,,1,1
alignmrt.com,U,INVEST,金融保險,,,1,1
sgx-coin.cc,U,INVEST,金融保險,,,1,1
dashdeexs.com,U,INVEST,金融保險,,,1,1
tripavixavip.cc,U,SHOP,電子商務,,,1,1
datahydrufokp.com,U,INVEST,金融保險,,,1,1
worldinvest.vip,U,INVEST,金融保險,,,1,1
zhi-resource-twd.com,U,INVEST,金融保險,,,1,1
hsctciy.cc,U,INVEST,金融保險,,,1,1
efplus.world,U,INVEST,金融保險,,,1,1
tw388.xyz,U,UNK,釣魚網站,,,1,1
comexu.xyz,U,INVEST,金融保險,,,1,1
thedewu.store,U,SHOP,電子商務,,,1,1
formosea.top,U,SHOP,電子商務,,,1,1
akashsystems-wpm.com,U,INVEST,金融保險,,,1,1
dhifz.com,U,INVEST,金融保險,,,1,1
hgnbx.com,U,INVEST,金融保險,,,1,1
nfywh.com,U,INVEST,金融保險,,,1,1
bvgbv.com,U,INVEST,金融保險,,,1,1
bvgsx.com,U,INVEST,金融保險,,,1,1
cbxhd.com,U,INVEST,金融保險,,,1,1
dbjnk.com,U,INVEST,金融保險,,,1,1
dhgfb.com,U,INVEST,金融保險,,,1,1
dhieh.com,U,INVEST,金融保險,,,1,1
dhoud.com,U,INVEST,金融保險,,,1,1
dhvcf.com,U,INVEST,金融保險,,,1,1
dhyfh.com,U,INVEST,金融保險,,,1,1
dsfhs.com,U,INVEST,金融保險,,,1,1
dvcgd.com,U,INVEST,金融保險,,,1,1
dvxid.com,U,INVEST,金融保險,,,1,1
fhyxm.com,U,INVEST,金融保險,,,1,1
fygxn.com,U,INVEST,金融保險,,,1,1
ghbbx.com,U,INVEST,金融保險,,,1,1
gjlnc.com,U,INVEST,金融保險,,,1,1
upbittwndivision.com,U,INVEST,金融保險,,,2,2
lziseht.com,U,INVEST,金融保險,,,1,1
portals-agtsltds.com,U,INVEST,金融保險,,,1,1
veluntra.vip,U,INVEST,金融保險,,,1,1
mtsprdpro.com,U,INVEST,金融保險,,,1,1
tmall12587.vip,A,SHOP,電子商務,東森購物,ECOM,1,1
sgewx.cc,U,INVEST,金融保險,,,1,1
jrijb.xyz,U,INVEST,金融保險,,,1,1
dreammallshopping.com,U,SHOP,電子商務,,,1,1
anproin.com,U,INVEST,金融保險,,,1,1
sales-shopings.shop,U,SHOP,電子商務,,,1,1
cjkisd.com,U,INVEST,金融保險,,,1,1
fxchat.one,U,INVEST,金融保險,,,1,1
coimmarketcapbvm.com,U,INVEST,金融保險,,,1,1
twchief.com,U,SHOP,電子商務,,,1,1
conking-wiishis.com,U,INVEST,金融保險,,,1,1
urbnedweb.com,U,INVEST,金融保險,,,1,1
dealloop-universe.store,U,SHOP,電子商務,,,1,1
49bucheng.icu,U,SHOP,電子商務,,,1,1
degnsa.com,U,INVEST,金融保險,,,1,1
wmrss.com,U,INVEST,金融保險,,,1,1
orgnima.com,U,INVEST,金融保險,,,1,1
nuthsqs.com,U,INVEST,金融保險,,,1,1
dlvde.cc,U,INVEST,金融保險,,,1,1
balians1.vip,U,UNK,抽獎博弈,,,1,1
morxcfg.com,U,INVEST,金融保險,,,1,1
bitgsees.com,U,INVEST,金融保險,,,1,1
bohobit002.net,U,INVEST,金融保險,,,1,1
bohobit003.net,U,INVEST,金融保險,,,1,1
cd-ai.top,U,INVEST,金融保險,,,1,1
cd-app.top,U,INVEST,金融保險,,,1,1
cd-app.vip,U,INVEST,金融保險,,,1,1
cd-build.vip,U,INVEST,金融保險,,,1,1
cd-copy.top,U,INVEST,金融保險,,,1,1
cd-in.top,U,INVEST,金融保險,,,1,1
treeshop.com.tw,U,UNK,資訊服務,,,1,1
moegov.org,U,IMPGOV,政府機構與國營事業,,,1,1
kkk1.tw,U,INVEST,金融保險,,,1,1
zwilling.io,U,INVEST,金融保險,,,1,1
dirp-bot.cfd,U,INVEST,金融保險,,,1,1
my-ship-711-tw-com.cyou,A,SHOP,運輸倉儲,7-ELEVEN 賣貨便,LOGI,1,1
myship-711-com-tw-q2qu.top,A,SHOP,運輸倉儲,7-ELEVEN 賣貨便,LOGI,1,1
myship-711-com-tw-iq89.cyou,A,SHOP,運輸倉儲,7-ELEVEN 賣貨便,LOGI,1,1
myship-711-com-tw-iu77.cyou,A,SHOP,運輸倉儲,7-ELEVEN 賣貨便,LOGI,1,1
myship-711-com-tw-br89.top,A,SHOP,運輸倉儲,7-ELEVEN 賣貨便,LOGI,1,1
myship-711-com-tw-3321.top,A,SHOP,運輸倉儲,7-ELEVEN 賣貨便,LOGI,1,1
myship-711qi.top,A,SHOP,運輸倉儲,7-ELEVEN 賣貨便,LOGI,1,1
myship-711fa.top,A,SHOP,運輸倉儲,7-ELEVEN 賣貨便,LOGI,1,1
myship-711-com-tw-12tw.cyou,A,SHOP,運輸倉儲,7-ELEVEN 賣貨便,LOGI,1,1
tornbank.net,U,INVEST,金融保險,,,1,1
aazzt.asia,U,SHOP,電子商務,,,1,1
ygdvaaly.com,U,SHOP,電子商務,,,1,1
sjhgk.cn,U,UNK,抽獎博弈,,,1,1
51pst.cc,U,INVEST,金融保險,,,1,1
look--loves.cc,U,INVEST,金融保險,,,1,1
hdjdhejdhdkxe.cc,U,INVEST,金融保險,,,1,1
wttheisu.com,U,INVEST,金融保險,,,1,1
dhmatw.com,U,INVEST,金融保險,,,1,1
dqwrw.vip,U,INVEST,金融保險,,,1,1
twetcno.net,U,UNK,資訊服務,,,1,1
fetc-twc.net,U,UNK,資訊服務,,,1,1
fetc-twg.com,U,UNK,資訊服務,,,1,1
fetc-twh.com,U,UNK,資訊服務,,,1,1
fetc-twi.com,U,UNK,資訊服務,,,1,1
whtsupports.top,U,INVEST,金融保險,,,1,1
cheui.cyou,U,INVEST,金融保險,,,1,1
hxfoundtw.net,U,INVEST,金融保險,,,1,1
ercrf.cc,U,INVEST,金融保險,,,1,1
myship-711-com-tw-5528.top,A,SHOP,運輸倉儲,7-ELEVEN 賣貨便,LOGI,1,1
711-cb.top,A,SHOP,運輸倉儲,7-ELEVEN 賣貨便,LOGI,1,1
cd-tw.top,A,SHOP,運輸倉儲,全家 FamilyMart,LOGI,2,2
myship7-11-com-tw.top,A,SHOP,運輸倉儲,7-ELEVEN 賣貨便,LOGI,1,1
myship-711-com-tw-1uau.top,A,SHOP,運輸倉儲,7-ELEVEN 賣貨便,LOGI,1,1
myship-711-com-tw-b498.top,A,SHOP,運輸倉儲,7-ELEVEN 賣貨便,LOGI,1,1
myship-711-com-tw-b678.cyou,A,SHOP,運輸倉儲,7-ELEVEN 賣貨便,LOGI,1,1
myship-711-com-tw-bay.cyou,A,SHOP,運輸倉儲,7-ELEVEN 賣貨便,LOGI,1,1
myship-711-com-tw-gaa.shop,A,SHOP,運輸倉儲,7-ELEVEN 賣貨便,LOGI,1,1
myship-711-com-tw-gqi.cyou,A,SHOP,運輸倉儲,7-ELEVEN 賣貨便,LOGI,1,1
myship-711-com-tw-hkia9.cyou,A,SHOP,運輸倉儲,7-ELEVEN 賣貨便,LOGI,1,1
myship-711-com-tw-igo63.cyou,A,SHOP,運輸倉儲,7-ELEVEN 賣貨便,LOGI,1,1
myship-711-com-tw-tq1t3.cyou,A,SHOP,運輸倉儲,7-ELEVEN 賣貨便,LOGI,1,1
myship-711-com-tw-uyd5.club,A,SHOP,運輸倉儲,7-ELEVEN 賣貨便,LOGI,1,1
myship-711-com-tw-wt.shop,A,SHOP,運輸倉儲,7-ELEVEN 賣貨便,LOGI,1,1
myship-711-com-tw-y46q.top,A,SHOP,運輸倉儲,7-ELEVEN 賣貨便,LOGI,1,1
myship-7-11-gjvn.top,A,SHOP,運輸倉儲,7-ELEVEN 賣貨便,LOGI,1,1
my-ship-711-tw-com.vip,A,SHOP,運輸倉儲,7-ELEVEN 賣貨便,LOGI,1,1
myship7-11-tw-ig.pro,A,SHOP,運輸倉儲,7-ELEVEN 賣貨便,LOGI,1,1
family-fjec-tw.shop,U,SHOP,運輸倉儲,,,1,1
family-mart-nwme.cyou,A,SHOP,運輸倉儲,全家 FamilyMart,LOGI,1,1
myship7-11-fmke-tw.shop,A,SHOP,運輸倉儲,7-ELEVEN 賣貨便,LOGI,1,1
kickes.me,U,INVEST,金融保險,,,1,1
starees.me,U,INVEST,金融保險,,,1,1
383-shop.com,U,SHOP,電子商務,,,1,1
fetc-twk.com,U,UNK,資訊服務,,,1,1
twetcqw.net,U,UNK,資訊服務,,,1,1
ayazon.xyz,U,INVEST,金融保險,,,1,1
f4nfan.com,U,INVEST,金融保險,,,1,1
rmsckl.top,U,INVEST,金融保險,,,2,2
maqwtp.com,U,INVEST,金融保險,,,1,1
ottergenbuwers.com,U,INVEST,金融保險,,,1,1
tiao567.com,U,UNK,釣魚網站,,,1,1
tripxtasker.com,U,INVEST,金融保險,,,1,1
cat-tp.top,U,INVEST,金融保險,,,1,1
kerryxpresss.top,A,SHOP,運輸倉儲,Kerry 嘉里大榮,LOGI,1,1
lovezirr.com,U,INVEST,金融保險,,,1,1
zenas.me,U,SHOP,電子商務,,,1,1
audacitycapitalx.com,U,INVEST,金融保險,,,1,1
usbanket.com,U,INVEST,金融保險,,,1,1
usbankjy.com,U,INVEST,金融保險,,,1,1
usbanknv.com,U,INVEST,金融保險,,,1,1
usbankmu.com,U,INVEST,金融保險,,,1,1
usbankgv.com,U,INVEST,金融保險,,,1,1
usbankfu.com,U,INVEST,金融保險,,,1,1
usbankix.com,U,INVEST,金融保險,,,1,1
usbankhw.com,U,INVEST,金融保險,,,1,1
usbankap.com,U,INVEST,金融保險,,,1,1
usbankds.com,U,INVEST,金融保險,,,1,1
family-mrwx-tw.shop,U,SHOP,運輸倉儲,,,1,1
family-mtdj-tw.shop,U,SHOP,運輸倉儲,,,1,1
famiport-com-tw-ch.fit,A,SHOP,運輸倉儲,全家 FamilyMart,LOGI,1,1
fetc-twfe.vip,U,INVEST,金融保險,,,1,1
myship-711-com-tw-gy73.cyou,A,SHOP,運輸倉儲,7-ELEVEN 賣貨便,LOGI,1,1
myship-711-com-tw-gji.cyou,A,SHOP,運輸倉儲,7-ELEVEN 賣貨便,LOGI,1,1
myship-711-com-tw-o39m.top,A,SHOP,運輸倉儲,7-ELEVEN 賣貨便,LOGI,1,1
myship-711-com-tw-35uw.cyou,A,SHOP,運輸倉儲,7-ELEVEN 賣貨便,LOGI,1,1
myship-711-com-tw-giz.cyou,A,SHOP,運輸倉儲,7-ELEVEN 賣貨便,LOGI,1,1
einvoice-tps-natgov-tw.com,A,INVEST,金融保險,財政部電子發票,GOV,1,1
einvoice-tso-natgov-tw.com,A,INVEST,金融保險,財政部電子發票,GOV,1,1
einvoice-ius-natgov-tw.com,A,INVEST,金融保險,財政部電子發票,GOV,1,1
govtw.site,A,IMPGOV,政府機構與國營事業,政府機關 gov.tw,GOV,1,1
mvdisgov-tw.com,A,IMPGOV,政府機構與國營事業,政府機關 gov.tw,GOV,1,1
luxys.cfd,U,UNK,資訊服務,,,1,1
luxys.me,U,UNK,資訊服務,,,1,1
ga98qa.sbs,U,SHOP,電子商務,,,5,5
btccapp.qpon,U,UNK,資訊服務,,,1,1
marketelory.top,U,SHOP,電子商務,,,1,1
cosme-de.top,A,SHOP,電子商務,康是美 Cosmed,ECOM,1,1
xtgwt.com,U,UNK,資訊服務,,,1,1
jkfkg.top,U,SHOP,電子商務,,,1,1
ilmpe.rest,U,SHOP,電子商務,,,1,1
philemon-tw.shop,U,SHOP,電子商務,,,1,1
innee.bar,U,SHOP,電子商務,,,1,1
tw-jiung.top,U,SHOP,電子商務,,,1,1
hyfc38.com,U,SHOP,電子商務,,,1,1
91loufeng.top,U,SHOP,電子商務,,,1,1
siuxh.icu,U,SHOP,電子商務,,,1,1
miashopping.store,U,SHOP,電子商務,,,1,1
xeunoeu.top,U,SHOP,電子商務,,,1,1
shandiangouwugroup.shop,U,SHOP,電子商務,,,1,1
cmptfx.site,U,SHOP,電子商務,,,1,1
tw-homall.top,U,SHOP,電子商務,,,1,1
djnmds.top,U,SHOP,電子商務,,,1,1
ndtyoc.shop,U,SHOP,電子商務,,,1,1
berduty.space,U,SHOP,電子商務,,,1,1
jpkkan.shop,U,SHOP,電子商務,,,1,1
kwcdd.top,U,SHOP,電子商務,,,1,1
fkyouxuantw.shop,U,SHOP,電子商務,,,1,1
generos.top,U,SHOP,電子商務,,,1,1
woobe.top,U,SHOP,電子商務,,,1,1
gdg212.top,U,SHOP,電子商務,,,1,1
moddup.top,U,SHOP,電子商務,,,1,1
brightclearly.com,U,SHOP,電子商務,,,1,1
fetc-gov.net,U,SHOP,電子商務,,,1,1
kppee.bar,U,SHOP,電子商務,,,1,1
yyrtwa.top,U,SHOP,電子商務,,,1,1
heofu.top,U,SHOP,電子商務,,,1,1
kqmhrt.xyz,U,SHOP,電子商務,,,1,1
bdy666.top,U,SHOP,電子商務,,,1,1
lyiiyiis.top,U,SHOP,電子商務,,,1,1
gqprt.xyz,U,SHOP,電子商務,,,1,1
xcxgxe.com,U,UNK,資訊服務,,,1,1
puer1352.com,U,SHOP,電子商務,,,1,1
cmgspisoe.com,U,UNK,資訊服務,,,1,1
wkyfrx.shop,U,SHOP,電子商務,,,2,2
94b.biz,U,UNK,資訊服務,,,1,1
yhjdes.net,U,SHOP,電子商務,,,1,1
dbvpj.xyz,U,SHOP,電子商務,,,1,1
ytdxuz.site,U,SHOP,電子商務,,,1,1
cswi892.top,A,UNK,資訊服務,Bybit,FIN,1,1
kubi-th.pro,U,UNK,資訊服務,,,1,1
mufyaql.top,U,SHOP,電子商務,,,1,1
zrkxg.icu,U,SHOP,電子商務,,,1,1
cenopua.top,U,SHOP,電子商務,,,1,1
gfyouxuantw.shop,U,SHOP,電子商務,,,1,1
rolxetf.cc,U,SHOP,電子商務,,,1,1
galaxus.cloud,U,SHOP,電子商務,,,1,1
sldbj0.lat,U,SHOP,電子商務,,,30,30
kaiun.vip,U,SHOP,電子商務,,,1,1
zpqfm.xyz,U,SHOP,電子商務,,,1,1
obnoxious02.shop,U,SHOP,電子商務,,,1,1
fixup.asia,U,SHOP,電子商務,,,1,1
zeczec.online,U,SHOP,電子商務,,,1,1
xcbxj.top,U,SHOP,電子商務,,,1,1
maliujka.store,U,SHOP,電子商務,,,1,1
24zeczec.top,U,SHOP,電子商務,,,1,1
ttbaoda.top,U,SHOP,電子商務,,,1,1
luanqr.top,U,SHOP,電子商務,,,1,1
dlskao.shop,U,SHOP,電子商務,,,1,1
kenichi-kabu.com,U,SHOP,電子商務,,,1,1
mnfcbd.com,U,UNK,資訊服務,,,1,1
rinifb.top,U,SHOP,電子商務,,,1,1
vdswqa.shop,U,SHOP,電子商務,,,1,1
rstvau.xyz,U,SHOP,電子商務,,,1,1
bifinancerfg.vip,U,UNK,資訊服務,,,1,1
wsfgoviga.com,U,UNK,資訊服務,,,1,1
wsfgoftrji.com,U,UNK,資訊服務,,,1,1
wsfgojimo.com,U,SHOP,電子商務,,,1,1
kiguti.shop,U,SHOP,電子商務,,,1,1
iqyouxuantw.shop,U,SHOP,電子商務,,,1,1
baodan-8.top,U,SHOP,電子商務,,,1,1
apponline.love,U,UNK,資訊服務,,,1,1
zans.asia,U,SHOP,電子商務,,,1,1
goaldr278.top,U,UNK,資訊服務,,,1,1
xbhkw.xyz,U,SHOP,電子商務,,,1,1
nzvnc.top,U,SHOP,電子商務,,,1,1
henhuichu.top,U,SHOP,電子商務,,,1,1
tjnb.shop,U,SHOP,電子商務,,,1,1
guesaovex.space,U,SHOP,電子商務,,,1,1
cpssiede.shop,U,SHOP,電子商務,,,1,1
lunohjl.top,U,SHOP,電子商務,,,1,1
nbfqb.xyz,U,SHOP,電子商務,,,1,1
5822xwwtjt4wgtjlsb.shop,U,SHOP,電子商務,,,1,1
eitmalllltw.shop,U,SHOP,電子商務,,,1,1
jkboe.space,U,SHOP,電子商務,,,1,1
jfkwj.top,U,SHOP,電子商務,,,1,1
oeeli.com,U,SHOP,電子商務,,,1,1
hepcc.online,U,SHOP,電子商務,,,1,1
tw888supply.shop,U,SHOP,電子商務,,,1,1
nusowng.shop,U,SHOP,電子商務,,,1,1
flyouxuantw.shop,U,SHOP,電子商務,,,1,1
cmbuf.icu,U,SHOP,電子商務,,,1,1
zhihuaceshi.shop,U,SHOP,電子商務,,,1,1
wscjxc.top,U,SHOP,電子商務,,,1,1
portal-agts.com,U,UNK,資訊服務,,,1,1
cuslea.top,U,SHOP,電子商務,,,1,1
akmallsl.top,U,SHOP,電子商務,,,1,1
tkstoreasia.click,U,SHOP,電子商務,,,5,5
dawho-twh.net,U,INVEST,金融保險,,,1,1
a-tw.fun,A,SHOP,運輸倉儲,全家 FamilyMart,LOGI,1,1
pl77k.com,U,INVEST,金融保險,,,1,1
astroline.today,U,INVEST,金融保險,,,1,1
family-frmh-tw.shop,U,SHOP,運輸倉儲,,,1,1
bhdhshd.cc,U,INVEST,金融保險,,,1,1
xn--kpr591agpo.hk,U,SHOP,電子商務,,,1,1
neoees.me,U,INVEST,金融保險,,,1,1
family-ymag-tw-ige.cyou,U,SHOP,運輸倉儲,,,1,1
famiport-tw-fmec-roys.cyou,A,SHOP,運輸倉儲,全家 FamilyMart,LOGI,1,1
myship-711-com-tw-baz5.top,A,SHOP,運輸倉儲,7-ELEVEN 賣貨便,LOGI,1,1
myship-711-com-tw-b516.cyou,A,SHOP,運輸倉儲,7-ELEVEN 賣貨便,LOGI,1,1
myship-711-com-tw-rqw1.cyou,A,SHOP,運輸倉儲,7-ELEVEN 賣貨便,LOGI,1,1
myship-711-com-tw-yy442.cyou,A,SHOP,運輸倉儲,7-ELEVEN 賣貨便,LOGI,1,1
australiaasiagroup.com,U,INVEST,金融保險,,,1,1
fetc-twm.com,U,INVEST,金融保險,,,1,1
globallinkpayn.com,U,INVEST,金融保險,,,1,1
